source_id,production_m3h,is_active
S_BKP_055,0.0,0
S_BKP_056,0.0,0
S_BKP_057,0.0,0
S_BKP_058,0.0,0
S_BKP_059,0.0,0
S_BKP_060,0.0,0
S_BKP_061,0.0,0
S_BKP_062,0.0,0
S_BKP_063,0.0,0
S_BKP_064,0.0,0
S_BKP_065,0.0,0
S_BKP_066,0.0,0
S_BKP_067,0.0,0
S_BKP_068,0.0,0
S_BKP_069,0.0,0
S_BKP_070,0.0,0
S_BKP_071,0.0,0
S_BKP_072,0.0,0
S_BKP_073,0.0,0
S_BKP_074,0.0,0
S_BKP_075,0.0,0
S_BKP_076,0.0,0
S_BKP_077,0.0,0
S_BKP_078,0.0,0
S_BKP_079,0.0,0
S_BKP_080,0.0,0
S_BKP_081,0.0,0
S_BKP_082,0.0,0
S_BKP_083,0.0,0
S_BKP_084,0.0,0
S_BKP_085,0.0,0
S_BKP_086,0.0,0
S_BKP_087,0.0,0
S_BKP_088,0.0,0
S_BKP_089,0.0,0
S_BKP_090,0.0,0
S_BKP_091,0.0,0
S_BKP_092,0.0,0
S_BKP_093,0.0,0
S_BKP_094,0.0,0
S_BKP_095,0.0,0
S_BKP_096,0.0,0
S_BKP_097,0.0,0
S_BKP_098,0.0,0
S_BKP_099,0.0,0
S_BKP_100,0.0,0
S_BKP_101,0.0,0
S_BKP_102,0.0,0
S_BKP_103,0.0,0
S_BKP_104,0.0,0
S_BKP_105,0.0,0
S_BKP_106,0.0,0
S_BKP_107,0.0,0
S_BKP_108,0.0,0
S_BKP_109,0.0,0
S_BKP_110,0.0,0
S_BKP_111,0.0,0
S_BKP_112,0.0,0
S_BKP_113,0.0,0
S_BKP_114,0.0,0
S_BKP_115,0.0,0
S_BKP_116,0.0,0
S_BKP_117,0.0,0
S_BKP_118,0.0,0
S_BKP_119,0.0,0
S_BKP_120,0.0,0
S_BKP_121,0.0,0
S_BKP_122,0.0,0
S_BKP_123,0.0,0
S_BKP_124,0.0,0
S_BKP_125,0.0,0
S_BKP_126,0.0,0
S_BKP_127,0.0,0
S_BKP_128,0.0,0
